station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBAN,2025-01-24 23:00,75.20,64.40,69.14,120.00,6.00,0.00,30.03,M,6.21,M,FEW,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,75.20,SBAN 242300Z 12006KT 9999 VCTS FEW040 FEW045CB 24/18 Q1017,M
SBGR,2025-01-24 23:00,69.80,68.00,94.01,110.00,3.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 242300Z 11003KT CAVOK 21/20 Q1017,M
SBAN,2025-01-25 00:00,73.40,64.40,73.44,110.00,5.00,0.00,30.09,M,6.21,M,FEW,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,73.40,SBAN 250000Z 11005KT 9999 VCTS FEW040 FEW045CB 23/18 Q1019,M
SBGR,2025-01-25 00:00,69.80,68.00,94.01,120.00,2.00,0.00,30.06,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250000Z 12002KT 9999 BKN009 21/20 Q1018,M
SBGR,2025-01-25 01:00,69.80,68.00,94.01,60.00,5.00,0.00,30.06,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250100Z 06005KT 9999 BKN009 21/20 Q1018,M
SBAN,2025-01-25 01:00,73.40,64.40,73.44,150.00,4.00,0.00,30.09,M,6.21,M,FEW,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,73.40,SBAN 250100Z 15004KT 9999 VCTS FEW040 FEW045CB 23/18 Q1019,M
SBGR,2025-01-25 01:10,69.80,68.00,94.01,60.00,5.00,0.00,30.09,M,6.21,M,SCT,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250110Z 06005KT 9999 SCT009 21/20 Q1019,M
SBGR,2025-01-25 02:00,69.80,68.00,94.01,90.00,3.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250200Z 09003KT 9999 FEW010 21/20 Q1019,M
SBAN,2025-01-25 02:00,71.60,64.40,78.04,120.00,4.00,0.00,30.12,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,71.60,SBAN 250200Z 12004KT 9999 FEW030 22/18 Q1020,M
SBGR,2025-01-25 02:30,69.80,68.00,94.01,80.00,2.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250230Z 08002KT 9999 BKN013 21/20 Q1018,M
SBGR,2025-01-25 03:00,69.80,68.00,94.01,170.00,2.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250300Z 17002KT 9999 BKN011 21/20 Q1018,M
SBAN,2025-01-25 03:00,69.80,66.20,88.34,140.00,4.00,0.00,30.12,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBAN 250300Z 14004KT 9999 FEW020 21/19 Q1020,M
SBGR,2025-01-25 04:00,69.80,68.00,94.01,0.00,0.00,0.00,30.06,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250400Z 00000KT 9999 BKN009 21/20 Q1018,M
SBAN,2025-01-25 04:00,69.80,64.40,82.98,130.00,3.00,0.00,30.12,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBAN 250400Z 13003KT 9999 FEW020 21/18 Q1020,M
SBGR,2025-01-25 05:00,69.80,68.00,94.01,130.00,2.00,0.00,30.03,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250500Z 13002KT 9999 BKN009 21/20 Q1017,M
SBAN,2025-01-25 05:00,69.80,64.40,82.98,120.00,2.00,0.00,30.12,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBAN 250500Z 12002KT 9999 FEW020 21/18 Q1020,M
