station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2025-01-01 00:00,69.80,66.20,88.34,120.00,3.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,1300.00,1700.00,M,M,M,M,M,M,M,M,M,69.80,SBGR 010000Z 12003KT 9999 SCT013 BKN017 21/19 Q1016,M
SBAN,2025-01-01 00:00,69.80,68.00,94.01,0.00,0.00,0.00,30.06,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,10000.00,M,M,M,M,M,M,M,M,69.80,SBAN 010000Z 00000KT 9999 SCT035 FEW040TCU BKN100 21/20 Q1018,M
SBGR,2025-01-01 00:06,69.80,66.20,88.34,110.00,3.00,0.00,30.00,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010006Z 11003KT 9999 BKN013 21/19 Q1016,M
SBAN,2025-01-01 01:00,69.80,68.00,94.01,0.00,0.00,0.00,30.06,M,6.21,M,SCT,FEW,BKN,M,2000.00,2500.00,7000.00,M,M,M,M,M,M,M,M,69.80,COR SBAN 010100Z 00000KT 9999 SCT020 FEW025TCU BKN070 21/20 Q1018,M
SBGR,2025-01-01 01:00,69.80,66.20,88.34,100.00,4.00,0.00,30.03,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 010100Z 10004KT 9999 BKN010 21/19 Q1017,M
SBGR,2025-01-01 02:00,68.00,66.20,93.97,70.00,6.00,0.00,30.03,M,4.97,M,SCT,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 010200Z 07006KT 8000 SCT009 20/19 Q1017,M
SBAN,2025-01-01 02:00,68.00,68.00,100.00,350.00,3.00,0.00,30.06,M,2.49,M,BKN,SCT,FEW,M,200.00,500.00,2500.00,M,-RA,M,M,M,M,M,M,68.00,SBAN 010200Z 35003KT 4000 -RA BKN002 SCT005 FEW025TCU 20/20 Q1018 RERA,M
SBAN,2025-01-01 03:00,68.00,68.00,100.00,350.00,2.00,0.00,30.06,M,6.21,M,SCT,SCT,M,M,500.00,1000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 010300Z 35002KT 9999 SCT005 SCT010 20/20 Q1018,M
SBGR,2025-01-01 03:00,66.20,64.40,93.92,80.00,6.00,0.00,30.00,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010300Z 08006KT 9999 BKN009 19/18 Q1016,M
SBGR,2025-01-01 04:00,66.20,64.40,93.92,90.00,3.00,0.00,30.00,M,4.35,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010400Z 09003KT 7000 BKN007 19/18 Q1016,M
SBAN,2025-01-01 04:00,64.40,64.40,100.00,360.00,2.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,1200.00,7000.00,M,M,M,M,M,M,M,M,M,64.40,SBAN 010400Z 36002KT 9999 SCT012 BKN070 18/18 Q1018,M
SBGR,2025-01-01 05:00,68.00,66.20,93.97,80.00,5.00,0.00,29.97,M,5.59,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 010500Z 08005KT 9000 BKN007 20/19 Q1015,M
SBAN,2025-01-01 05:00,68.00,68.00,100.00,50.00,4.00,0.00,30.03,M,2.49,M,BKN,SCT,M,M,200.00,1000.00,M,M,-RA,M,M,M,M,M,M,68.00,SBAN 010500Z 05004KT 4000 -RA BKN002 SCT010 20/20 Q1017,M
SBAN,2025-01-01 06:00,68.00,68.00,100.00,20.00,2.00,0.00,30.03,M,6.21,M,SCT,SCT,M,M,1000.00,8000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 010600Z 02002KT 9999 SCT010 SCT080 20/20 Q1017,M
SBGR,2025-01-01 06:00,66.20,64.40,93.92,90.00,5.00,0.00,29.97,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010600Z 09005KT 9999 BKN010 19/18 Q1015,M
SBGR,2025-01-01 07:00,66.20,64.40,93.92,70.00,3.00,0.00,29.97,M,6.21,M,SCT,BKN,M,M,1000.00,6600.00,M,M,M,M,M,M,M,M,M,66.20,SBGR 010700Z 07003KT 9999 SCT010 BKN066 19/18 Q1015,M
SBAN,2025-01-01 07:00,64.40,64.40,100.00,280.00,4.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,1200.00,7000.00,M,M,M,M,M,M,M,M,M,64.40,SBAN 010700Z 28004KT 9999 SCT012 BKN070 18/18 Q1018,M
SBGR,2025-01-01 08:00,66.20,64.40,93.92,80.00,2.00,0.00,29.97,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010800Z 08002KT 9999 BKN010 19/18 Q1015,M
SBAN,2025-01-01 08:00,62.60,62.60,100.00,210.00,4.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,1500.00,8000.00,M,M,M,M,M,M,M,M,M,62.60,SBAN 010800Z 21004KT 9999 SCT015 BKN080 17/17 Q1018,M
SBAN,2025-01-01 09:00,66.20,66.20,100.00,0.00,0.00,0.00,30.06,M,6.21,M,FEW,BKN,M,M,400.00,8000.00,M,M,PRFG,M,M,M,M,M,M,66.20,SBAN 010900Z 00000KT 9999 PRFG FEW004 BKN080 19/19 Q1018,M
SBGR,2025-01-01 09:00,66.20,64.40,93.92,90.00,1.00,0.00,30.00,M,4.97,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 010900Z 09001KT 8000 FEW010 19/18 Q1016,M
SBAN,2025-01-01 10:00,68.00,68.00,100.00,110.00,3.00,0.00,30.06,M,0.25,M,BKN,BKN,M,M,200.00,8000.00,M,M,FG,M,M,M,M,M,M,68.00,SBAN 011000Z 11003KT 0400 R06L/P2000 R24R/P2000 FG BKN002 BKN080 20/20 Q1018,M
SBGR,2025-01-01 10:00,69.80,64.40,82.98,60.00,4.00,0.00,30.03,M,6.21,M,FEW,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 011000Z 06004KT 9999 FEW008 21/18 Q1017,M
SBGR,2025-01-01 11:00,71.60,64.40,78.04,70.00,4.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 011100Z 07004KT 9999 FEW015 22/18 Q1017,M
SBAN,2025-01-01 11:00,68.00,68.00,100.00,110.00,4.00,0.00,30.09,M,3.11,M,BKN,SCT,BKN,M,300.00,700.00,8000.00,M,BR PRFG,M,M,M,M,M,M,68.00,SBAN 011100Z 11004KT 5000 2000NW BR PRFG BKN003 SCT007 BKN080 20/20 Q1019,M
SBAN,2025-01-01 12:00,71.60,69.80,94.06,90.00,4.00,0.00,30.12,M,3.11,M,BKN,BKN,M,M,400.00,8000.00,M,M,BR,M,M,M,M,M,M,71.60,SBAN 011200Z 09004KT 5000 BR BKN004 BKN080 22/21 Q1020,M
SBGR,2025-01-01 12:00,75.20,66.20,73.61,80.00,2.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,SBGR 011200Z 08002KT CAVOK 24/19 Q1017,M
SBAN,2025-01-01 13:00,73.40,69.80,88.51,M,4.00,0.00,30.12,M,6.21,M,BKN,SCT,FEW,M,1000.00,2000.00,3000.00,M,M,M,M,M,M,M,M,73.40,SBAN 011300Z VRB04KT 9999 BKN010 SCT020 FEW030TCU 23/21 Q1020,M
SBGR,2025-01-01 13:00,80.60,64.40,57.84,350.00,5.00,0.00,30.03,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,82.27,SBGR 011300Z 35005KT 9999 FEW030 27/18 Q1017,M
SBGR,2025-01-01 14:00,82.40,62.60,51.21,340.00,7.00,0.00,30.03,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,83.41,SBGR 011400Z 34007KT 9999 BKN040 28/17 Q1017,M
SBAN,2025-01-01 14:00,77.00,68.00,73.78,M,4.00,0.00,30.12,M,6.21,M,FEW,BKN,FEW,M,1200.00,2500.00,3500.00,M,SHRA,M,M,M,M,M,M,77.00,SBAN 011400Z VRB04KT 9999 SHRA FEW012 BKN025 FEW035TCU 25/20 Q1020,M
SBGR,2025-01-01 15:00,86.00,64.40,48.58,320.00,7.00,0.00,30.00,M,6.21,M,BKN,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,87.49,SBGR 011500Z 32007KT 9999 BKN045 30/18 Q1016,M
SBAN,2025-01-01 15:00,78.80,66.20,65.33,360.00,4.00,0.00,30.09,M,6.21,M,FEW,BKN,FEW,M,1000.00,2500.00,3500.00,M,VCSH,M,M,M,M,M,M,78.80,SBAN 011500Z 36004KT 9999 VCSH FEW010 BKN025 FEW035TCU 26/19 Q1019 RESHRA,M
SBAN,2025-01-01 16:00,71.60,69.80,94.06,20.00,8.00,0.00,30.06,M,6.21,M,FEW,BKN,FEW,BKN,1000.00,2500.00,3500.00,7000.00,SHRA,M,M,M,M,M,M,71.60,SBAN 011600Z 02008KT 330V080 9999 SHRA FEW010 BKN025 FEW035TCU BKN070 22/21 Q1018,M
SBGR,2025-01-01 16:00,84.20,62.60,48.32,280.00,7.00,0.00,29.97,M,6.21,M,BKN,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,85.03,SBGR 011600Z 28007KT 9999 BKN045 29/17 Q1015,M
SBGR,2025-01-01 17:00,84.20,64.40,51.47,170.00,5.00,0.00,29.94,M,6.21,M,BKN,FEW,M,M,4500.00,5000.00,M,M,M,M,M,M,M,M,M,85.71,SBGR 011700Z 17005KT 9999 BKN045 FEW050TCU 29/18 Q1014,M
SBAN,2025-01-01 17:00,78.80,66.20,65.33,10.00,5.00,0.00,30.06,M,6.21,M,SCT,FEW,BKN,M,2500.00,3500.00,7000.00,M,VCSH,M,M,M,M,M,M,78.80,SBAN 011700Z 01005KT 9999 VCSH SCT025 FEW035TCU BKN070 26/19 Q1018 RESHRA,M
SBAN,2025-01-01 18:00,75.20,66.20,73.61,M,4.00,0.00,30.03,M,6.21,M,FEW,SCT,FEW,BKN,1000.00,2500.00,3500.00,7000.00,VCSH,M,M,M,M,M,M,75.20,SBAN 011800Z VRB04KT 9999 VCSH FEW010 SCT025 FEW035TCU BKN070 24/19 Q1017,M
SBGR,2025-01-01 18:00,78.80,64.40,61.36,150.00,9.00,0.00,29.94,M,6.21,M,BKN,FEW,M,M,4500.00,5000.00,M,M,M,M,M,M,M,M,M,78.80,SBGR 011800Z 15009KT 9999 BKN045 FEW050TCU 26/18 Q1014,M
SBGR,2025-01-01 18:16,71.60,69.80,94.06,150.00,9.00,0.00,29.94,M,3.73,M,BKN,FEW,M,M,4500.00,5000.00,M,M,RA,M,M,M,M,M,M,71.60,SBGR 011816Z 15009KT 6000 RA BKN045 FEW050TCU 22/21 Q1014,M
SBGR,2025-01-01 19:00,73.40,69.80,88.51,210.00,3.00,0.00,29.97,M,3.73,M,BKN,M,M,M,1300.00,M,M,M,-RA,M,M,M,M,M,M,73.40,SBGR 011900Z 21003KT 6000 -RA BKN013 23/21 Q1015 RERA,M
SBAN,2025-01-01 19:00,77.00,64.40,65.12,M,3.00,0.00,30.00,M,6.21,M,FEW,SCT,FEW,BKN,1000.00,2500.00,3500.00,7000.00,VCTS,M,M,M,M,M,M,77.00,SBAN 011900Z VRB03KT 9999 VCTS FEW010 SCT025 FEW035CB BKN070 25/18 Q1016,M
SBAN,2025-01-01 20:00,75.20,68.00,78.34,330.00,2.00,0.00,29.97,M,6.21,M,FEW,SCT,FEW,BKN,1000.00,2500.00,3500.00,7000.00,M,M,M,M,M,M,M,75.20,SBAN 012000Z 33002KT 9999 FEW010 SCT025 FEW035TCU BKN070 24/20 Q1015,M
SBGR,2025-01-01 20:00,73.40,69.80,88.51,180.00,4.00,0.00,29.94,M,3.73,M,SCT,BKN,M,M,1300.00,2600.00,M,M,M,M,M,M,M,M,M,73.40,SBGR 012000Z 18004KT 6000 SCT013 BKN026 23/21 Q1014,M
SBAN,2025-01-01 21:00,73.40,68.00,83.21,M,1.00,0.00,29.97,M,6.21,M,FEW,FEW,BKN,M,2500.00,3500.00,7000.00,M,M,M,M,M,M,M,M,73.40,SBAN 012100Z VRB01KT 9999 FEW025 FEW035TCU BKN070 23/20 Q1015,M
SBGR,2025-01-01 21:00,73.40,69.80,88.51,130.00,4.00,0.00,29.94,M,5.59,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,73.40,SBGR 012100Z 13004KT 9000 FEW013 23/21 Q1014,M
SBAN,2025-01-01 22:00,71.60,69.80,94.06,0.00,0.00,0.00,30.03,M,6.21,M,FEW,FEW,BKN,M,2500.00,3500.00,7000.00,M,M,M,M,M,M,M,M,71.60,SBAN 012200Z 00000KT 9999 FEW025 FEW035TCU BKN070 22/21 Q1017,M
SBGR,2025-01-01 22:00,71.60,68.00,88.43,110.00,6.00,0.00,29.97,M,6.21,M,BKN,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 012200Z 11006KT 9999 BKN013 22/20 Q1015,M
SBAN,2025-01-01 23:00,69.80,68.00,94.01,110.00,5.00,0.00,30.06,M,6.21,M,FEW,FEW,BKN,M,2500.00,3500.00,7000.00,M,M,M,M,M,M,M,M,69.80,SBAN 012300Z 11005KT 9999 FEW025 FEW035TCU BKN070 21/20 Q1018,M
SBGR,2025-01-01 23:00,71.60,68.00,88.43,140.00,4.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,1300.00,2100.00,M,M,M,M,M,M,M,M,M,71.60,SBGR 012300Z 14004KT 9999 SCT013 BKN021 22/20 Q1016,M
SBAN,2025-01-02 00:00,69.80,68.00,94.01,90.00,4.00,0.00,30.06,M,6.21,M,FEW,FEW,BKN,M,2500.00,3500.00,7000.00,M,M,M,M,M,M,M,M,69.80,SBAN 020000Z 09004KT 9999 FEW025 FEW035TCU BKN070 21/20 Q1018,M
SBGR,2025-01-02 00:00,71.60,68.00,88.43,140.00,3.00,0.00,30.00,M,6.21,M,BKN,BKN,M,M,1300.00,2100.00,M,M,M,M,M,M,M,M,M,71.60,SBGR 020000Z 14003KT 9999 BKN013 BKN021 22/20 Q1016,M
SBGR,2025-01-02 00:20,71.60,68.00,88.43,130.00,4.00,0.00,30.00,M,6.21,M,SCT,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 020020Z 13004KT 9999 SCT017 22/20 Q1016,M
SBAN,2025-01-02 01:00,69.80,68.00,94.01,70.00,6.00,0.00,30.06,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,M,M,M,69.80,SBAN 020100Z 07006KT 9999 FEW025 BKN070 21/20 Q1018,M
SBGR,2025-01-02 01:00,71.60,68.00,88.43,110.00,4.00,0.00,30.00,M,6.21,M,SCT,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 020100Z 11004KT 9999 SCT009 22/20 Q1016,M
SBAN,2025-01-02 02:00,69.80,68.00,94.01,60.00,5.00,0.00,30.09,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,M,M,M,69.80,SBAN 020200Z 06005KT 9999 FEW025 BKN070 21/20 Q1019,M
SBGR,2025-01-02 02:00,69.80,68.00,94.01,70.00,5.00,0.00,30.03,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 020200Z 07005KT 9999 BKN009 21/20 Q1017,M
SBGR,2025-01-02 03:00,69.80,68.00,94.01,70.00,7.00,0.00,30.03,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 020300Z 07007KT 9999 BKN009 21/20 Q1017,M
SBAN,2025-01-02 03:00,68.00,62.60,82.86,50.00,8.00,0.00,30.09,M,6.21,M,FEW,BKN,M,M,1100.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020300Z 05008KT 9999 FEW011 BKN070 20/17 Q1019,M
SBAN,2025-01-02 04:00,68.00,64.40,88.26,60.00,5.00,0.00,30.06,M,6.21,M,FEW,BKN,M,M,1100.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020400Z 06005KT 9999 FEW011 BKN070 20/18 Q1018,M
SBGR,2025-01-02 04:00,69.80,66.20,88.34,70.00,8.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,500.00,900.00,M,M,M,M,M,M,M,M,M,69.80,SBGR 020400Z 07008KT 9999 FEW005 BKN009 21/19 Q1015,M
SBAN,2025-01-02 05:00,68.00,68.00,100.00,70.00,5.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,1100.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020500Z 07005KT 9999 FEW011 BKN070 20/20 Q1017,M
SBGR,2025-01-02 05:00,68.00,66.20,93.97,70.00,8.00,0.00,29.97,M,6.21,M,FEW,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 020500Z 07008KT 9999 FEW005 20/19 Q1015,M
SBGR,2025-01-02 06:00,66.20,64.40,93.92,70.00,8.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 020600Z 07008KT CAVOK 19/18 Q1015,M
SBAN,2025-01-02 06:00,68.00,68.00,100.00,70.00,6.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020600Z 07006KT 9999 FEW025 BKN070 20/20 Q1017,M
SBAN,2025-01-02 07:00,68.00,68.00,100.00,60.00,6.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020700Z 06006KT 9999 FEW025 BKN070 20/20 Q1017,M
SBGR,2025-01-02 07:00,66.20,64.40,93.92,70.00,6.00,0.00,29.94,M,6.21,M,SCT,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 020700Z 07006KT 9999 SCT008 19/18 Q1014,M
SBGR,2025-01-02 08:00,64.40,62.60,93.88,70.00,5.00,0.00,29.94,M,6.21,M,FEW,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,64.40,SBGR 020800Z 07005KT 9999 FEW006 18/17 Q1014,M
SBAN,2025-01-02 08:00,68.00,68.00,100.00,50.00,4.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,M,M,M,68.00,SBAN 020800Z 05004KT 9999 FEW025 BKN070 20/20 Q1017,M
SBGR,2025-01-02 09:00,66.20,64.40,93.92,0.00,0.00,0.00,30.00,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,SBGR 020900Z 00000KT 9000 4000E NSC 19/18 Q1016,M
SBAN,2025-01-02 09:00,66.20,66.20,100.00,30.00,7.00,0.00,30.06,M,6.21,M,SCT,BKN,M,M,2500.00,10000.00,M,M,M,M,M,M,M,M,M,66.20,SBAN 020900Z 03007KT 360V060 9999 SCT025 BKN100 19/19 Q1018,M
SBGR,2025-01-02 10:00,71.60,64.40,78.04,340.00,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,SBGR 021000Z 34002KT CAVOK 22/18 Q1016,M
SBAN,2025-01-02 10:00,68.00,66.20,93.97,50.00,4.00,0.00,30.09,M,6.21,M,FEW,SCT,BKN,M,1500.00,3000.00,10000.00,M,M,M,M,M,M,M,M,68.00,SBAN 021000Z 05004KT 9999 FEW015 SCT030 BKN100 20/19 Q1019,M
SBGR,2025-01-02 11:00,75.20,64.40,69.14,340.00,10.00,0.00,30.00,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,75.20,COR SBGR 021100Z 34010KT 310V010 9999 FEW023 24/18 Q1016 WS R10R,M
SBAN,2025-01-02 11:00,69.80,66.20,88.34,50.00,6.00,0.00,30.09,M,6.21,M,SCT,SCT,BKN,M,700.00,3500.00,10000.00,M,M,M,M,M,M,M,M,69.80,SBAN 021100Z 05006KT 9999 SCT007 SCT035 BKN100 21/19 Q1019,M
SBGR,2025-01-02 12:00,78.80,64.40,61.36,360.00,6.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,78.80,SBGR 021200Z 36006KT 300V100 9999 FEW030 26/18 Q1015,M
SBAN,2025-01-02 12:00,71.60,68.00,88.43,10.00,6.00,0.00,30.12,M,6.21,M,FEW,SCT,BKN,M,700.00,4000.00,10000.00,M,M,M,M,M,M,M,M,71.60,SBAN 021200Z 01006KT 9999 FEW007 SCT040 BKN100 22/20 Q1020,M
SBGR,2025-01-02 13:00,80.60,64.40,57.84,340.00,9.00,0.00,29.97,M,6.21,M,SCT,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,82.27,SBGR 021300Z 34009KT 290V020 9999 SCT033 27/18 Q1015,M
SBAN,2025-01-02 13:00,73.40,66.20,78.19,330.00,4.00,0.00,30.15,M,6.21,M,BKN,FEW,SCT,BKN,900.00,3500.00,4000.00,8000.00,M,M,M,M,M,M,M,73.40,SBAN 021300Z 33004KT 9999 BKN009 FEW035TCU SCT040 BKN080 23/19 Q1021,M
SBAN,2025-01-02 13:04,73.40,66.20,78.19,330.00,8.00,0.00,30.15,M,6.21,19.00,BKN,FEW,SCT,BKN,900.00,3500.00,4000.00,8000.00,M,M,M,M,M,M,M,73.40,SBAN 021304Z 33008G19KT 9999 BKN009 FEW035TCU SCT040 BKN080 23/19 Q1021,M
SBGR,2025-01-02 14:00,84.20,64.40,51.47,300.00,12.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.71,SBGR 021400Z 30012KT CAVOK 29/18 Q1015,M
SBAN,2025-01-02 14:00,75.20,66.20,73.61,320.00,6.00,0.00,30.12,M,6.21,16.00,BKN,SCT,FEW,BKN,1200.00,2000.00,3000.00,8000.00,VCSH,M,M,M,M,M,M,75.20,SBAN 021400Z 32006G16KT 9999 VCSH BKN012 SCT020 FEW030TCU BKN080 24/19 Q1020,M
SBGR,2025-01-02 15:00,86.00,64.40,48.58,330.00,9.00,0.00,29.94,M,6.21,M,FEW,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,87.49,SBGR 021500Z 33009KT 290V010 9999 FEW047 30/18 Q1014,M
SBAN,2025-01-02 15:00,77.00,68.00,73.78,320.00,5.00,0.00,30.12,M,6.21,M,BKN,SCT,BKN,M,1500.00,2500.00,8000.00,M,M,M,M,M,M,M,M,77.00,SBAN 021500Z 32005KT 9999 BKN015 SCT025 BKN080 25/20 Q1020,M
SBAN,2025-01-02 16:00,78.80,66.20,65.33,340.00,6.00,0.00,30.09,M,6.21,M,SCT,SCT,M,M,1800.00,10000.00,M,M,M,M,M,M,M,M,M,78.80,SBAN 021600Z 34006KT 9999 SCT018 SCT100 26/19 Q1019,M
SBGR,2025-01-02 16:00,87.80,60.80,40.41,330.00,10.00,0.00,29.91,M,6.21,M,SCT,M,M,M,4900.00,M,M,M,M,M,M,M,M,M,M,87.75,SBGR 021600Z 33010KT 280V360 9999 SCT049 31/16 Q1013,M
SBAN,2025-01-02 17:00,78.80,62.60,57.60,310.00,6.00,0.00,30.06,M,6.21,M,SCT,SCT,M,M,3000.00,10000.00,M,M,M,M,M,M,M,M,M,78.80,SBAN 021700Z 31006KT 9999 SCT030 SCT100 26/17 Q1018,M
SBGR,2025-01-02 17:00,87.80,60.80,40.41,280.00,14.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,87.75,SBGR 021700Z 28014KT CAVOK 31/16 Q1012,M
SBAN,2025-01-02 18:00,78.80,64.40,61.36,330.00,6.00,0.00,30.03,M,6.21,M,SCT,SCT,M,M,2000.00,10000.00,M,M,M,M,M,M,M,M,M,78.80,SBAN 021800Z 33006KT 9999 SCT020 SCT100 26/18 Q1017,M
SBGR,2025-01-02 18:00,87.80,62.60,43.07,290.00,13.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,88.48,SBGR 021800Z 29013KT CAVOK 31/17 Q1012,M
SBGR,2025-01-02 19:00,89.60,62.60,40.69,300.00,11.00,0.00,29.85,M,6.21,M,SCT,FEW,M,M,5000.00,5000.00,M,M,M,M,M,M,M,M,M,90.32,SBGR 021900Z 30011KT 9999 SCT050 FEW050TCU 32/17 Q1011,M
SBAN,2025-01-02 19:00,78.80,64.40,61.36,330.00,5.00,0.00,30.00,M,6.21,M,SCT,SCT,M,M,2000.00,10000.00,M,M,M,M,M,M,M,M,M,78.80,SBAN 021900Z 33005KT 9999 SCT020 SCT100 26/18 Q1016,M
SBAN,2025-01-02 20:00,77.00,64.40,65.12,330.00,3.00,0.00,30.00,M,6.21,M,FEW,FEW,SCT,M,2500.00,3000.00,10000.00,M,M,M,M,M,M,M,M,77.00,SBAN 022000Z 33003KT 9999 FEW025 FEW030TCU SCT100 25/18 Q1016,M
SBGR,2025-01-02 20:00,86.00,62.60,45.61,300.00,10.00,0.00,29.83,M,6.21,M,SCT,FEW,M,M,5000.00,5000.00,M,M,M,M,M,M,M,M,M,86.72,SBGR 022000Z 30010KT 9999 SCT050 FEW050TCU 30/17 Q1010,M
SBGR,2025-01-02 21:00,84.20,64.40,51.47,300.00,7.00,0.00,29.85,M,6.21,M,FEW,BKN,M,M,4000.00,7000.00,M,M,M,M,M,M,M,M,M,85.71,SBGR 022100Z 30007KT 9999 FEW040TCU BKN070 29/18 Q1011,M
SBAN,2025-01-02 21:00,75.20,66.20,73.61,320.00,2.00,0.00,30.00,M,6.21,M,FEW,FEW,SCT,M,3000.00,3500.00,10000.00,M,M,M,M,M,M,M,M,75.20,SBAN 022100Z 32002KT 9999 FEW030 FEW035TCU SCT100 24/19 Q1016,M
SBAN,2025-01-02 22:00,71.60,66.20,83.09,M,2.00,0.00,30.03,M,6.21,M,FEW,FEW,SCT,M,3000.00,3500.00,10000.00,M,M,M,M,M,M,M,M,71.60,SBAN 022200Z VRB02KT 9999 FEW030 FEW035TCU SCT100 22/19 Q1017,M
SBGR,2025-01-02 22:00,80.60,66.20,61.58,300.00,3.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,4000.00,7000.00,M,M,M,M,M,M,M,M,M,82.75,SBGR 022200Z 30003KT 9999 FEW040TCU BKN070 27/19 Q1012,M
SBGR,2025-01-02 22:36,78.80,62.60,57.60,10.00,8.00,0.00,29.88,M,5.59,M,BKN,BKN,SCT,BKN,3000.00,4300.00,5000.00,8300.00,TS,M,M,M,M,M,M,78.80,SBGR 022236Z 01008KT 9000 TS BKN030 BKN043 SCT050CB BKN083 26/17 Q1012,M
SBAN,2025-01-02 23:00,69.80,66.20,88.34,M,1.00,0.00,30.03,M,6.21,M,FEW,FEW,SCT,M,3000.00,3500.00,10000.00,M,VCTS,M,M,M,M,M,M,69.80,SBAN 022300Z VRB01KT 9999 VCTS FEW030 FEW035CB SCT100 21/19 Q1017,M
SBGR,2025-01-02 23:00,75.20,64.40,69.14,20.00,12.00,0.00,29.94,M,5.59,M,BKN,FEW,M,M,3000.00,4000.00,M,M,TS VCSH,M,M,M,M,M,M,75.20,SBGR 022300Z 02012KT 9000 TS VCSH BKN030 FEW040CB 24/18 Q1014,M
